"name";"nickname";"wins";"losses";"draws";"height_cm";"weight_in_kg";"reach_in_cm";"stance";"date_of_birth";"significant_strikes_landed_per_minute";"significant_striking_accuracy";"significant_strikes_absorbed_per_minute";"significant_strike_defence";"average_takedowns_landed_per_15_minutes";"takedown_accuracy";"takedown_defense";"average_submissions_attempted_per_15_minutes";"performance_metric"
"Jonathan  Mix";"";7;4;0;182.88;76.2;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-15.5455
"Jonathan Brookins";"";16;10;0;182.88;65.77;187.96;"Southpaw";"1985-08-13";2.69;39.0;3.63;56.0;1.94;17.0;80.0;0.3;-40.1538
"Jonathan Goulet";"The Road Warrior";23;12;0;182.88;77.11;185.42;"Orthodox";"1979-07-13";1.61;41.0;2.01;46.0;4.17;70.0;45.0;0.6;-44.8857
"Jonathan Martinez";"Dragon";19;4;0;172.72;61.23;177.8;"Southpaw";"1994-04-20";4.64;50.0;3.76;58.0;0.44;41.0;69.0;0.1;-4.30435
"Jonathan Pearce";"JSP";14;5;0;182.88;65.77;180.34;"Switch";"1992-05-01";5.6;56.0;3.35;55.0;5.29;53.0;56.0;0.8;-14.6842
"Jonathan Santa Maria";"";3;4;0;175.26;56.7;0.0;"";"";3.6;51.0;2.53;74.0;0.0;0.0;80.0;0.0;-18.7143
"Jonavin Webb";"The Spyder";9;2;0;177.8;77.11;0.0;"Orthodox";"1989-04-28";1.47;30.0;2.27;64.0;2.5;31.0;40.0;1.0;-2.63636
"Jong Wang Kim";"";13;23;0;185.42;108.86;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-110.306
"Jordan Bailey";"";6;3;0;175.26;65.77;0.0;"";"";1.74;40.0;0.29;0.0;4.35;100.0;0.0;4.3;-11.0
"Jordan Espinosa";"The Gamer";15;9;0;167.64;56.7;175.26;"Orthodox";"1989-11-08";4.22;52.0;2.94;57.0;0.75;28.0;70.0;0.2;-35.625
"Jordan Griffin";"Native Psycho";18;9;0;177.8;65.77;185.42;"Southpaw";"1990-02-28";2.52;46.0;3.02;50.0;1.45;35.0;42.0;1.9;-33.0
"Jordan Johnson";"";10;0;0;187.96;92.99;200.66;"Orthodox";"1988-11-18";3.45;47.0;2.64;53.0;3.25;42.0;100.0;1.2;10.0
"Jordan Leavitt";"The Monkey King";11;3;0;175.26;70.31;180.34;"Southpaw";"1995-06-02";2.55;61.0;1.84;57.0;2.19;25.0;30.0;1.1;-6.35714
"Jordan Mein";"Young Gun";31;12;0;182.88;77.11;185.42;"Orthodox";"1989-10-10";3.35;44.0;2.55;69.0;1.56;58.0;66.0;0.2;-37.6512
"Jordan Parsons";"Pretty Boy";11;2;0;175.26;65.77;0.0;"";"";3.29;40.0;2.37;60.0;1.54;21.0;50.0;1.0;-0.692308
"Jordan Rinaldi";"All Day";14;7;0;177.8;65.77;182.88;"Orthodox";"1987-09-25";1.56;35.0;2.32;59.0;1.45;35.0;20.0;1.2;-25.6667
"Jordan Wright";"The Beverly Hills Ninja";12;5;0;187.96;92.99;195.58;"Orthodox";"1991-10-07";4.1;56.0;6.03;31.0;2.09;45.0;100.0;0.4;-16.5294
"Jorge Gonzalez";"Street";16;4;0;187.96;92.99;193.04;"Orthodox";"1984-02-29";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-7.2
"Jorge Gurgel";"";14;10;0;170.18;70.31;175.26;"Orthodox";"1977-01-25";3.37;32.0;3.62;62.0;0.81;23.0;60.0;0.5;-41.8333
"Jorge Masvidal";"Gamebred";35;17;0;180.34;77.11;187.96;"Orthodox";"1984-11-12";4.05;47.0;3.05;64.0;1.38;59.0;72.0;0.3;-61.4423
"Jorge Patino";"Macaco";38;19;2;172.72;77.11;0.0;"Orthodox";"1973-08-05";1.33;30.0;3.14;53.0;0.54;25.0;50.0;0.0;-70.5254
"Jorge Rivera";"El Conquistador";20;9;0;185.42;83.91;185.42;"Orthodox";"1972-02-28";3.16;48.0;2.64;54.0;0.84;50.0;63.0;0.1;-31.2069
"Jorge Santiago";"The Sandman";25;12;0;185.42;77.11;190.5;"Orthodox";"1980-10-09";1.69;35.0;2.62;56.0;0.58;30.0;52.0;0.8;-43.1081
"Jose Aldo";"";31;8;0;170.18;61.23;177.8;"Orthodox";"1986-09-09";3.57;46.0;3.74;60.0;0.49;54.0;91.0;0.1;-15.359
"Jose Augusto";"Gugu";6;2;0;190.5;113.85;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.5
"Jose Johnson";"Lobo Solitario";16;8;0;182.88;61.23;180.34;"Orthodox";"1995-05-20";2.8;60.0;1.73;55.0;0.62;50.0;36.0;0.6;-29.3333
"Jose Landi-Jons";"Pele";29;16;0;180.34;77.11;0.0;"Orthodox";"1973-09-09";0.99;40.0;0.77;43.0;2.2;80.0;40.0;2.2;-61.3111
"Jose Maria";"No Chance";37;7;0;165.1;56.7;0.0;"Orthodox";"1982-01-04";3.2;53.0;3.98;52.0;2.32;27.0;33.0;2.3;-3.88636
"Jose Palacios";"";3;2;0;175.26;65.77;0.0;"Orthodox";"";2.67;70.0;1.0;79.0;0.0;0.0;50.0;1.7;-8.2
"Jose Quinonez";"Teco";9;5;0;172.72;61.23;175.26;"Southpaw";"1990-07-28";3.6;45.0;3.0;64.0;2.7;47.0;42.0;0.6;-19.2143
"Joselyne Edwards";"La Pantera";13;5;0;172.72;61.23;177.8;"Orthodox";"1995-09-29";4.71;52.0;3.36;50.0;1.0;33.0;64.0;0.3;-15.6111
"Joseph Benavidez";"";28;8;0;162.56;56.7;165.1;"Southpaw";"1984-07-31";3.52;34.0;2.67;61.0;1.41;30.0;62.0;0.6;-18.2222
"Joseph Gigliotti";"Capo";7;2;0;180.34;83.91;0.0;"Orthodox";"1993-08-13";1.04;39.0;2.92;45.0;1.56;100.0;50.0;0.8;-4.55556
"Joseph Holmes";"Uglyman Joe";8;4;0;193.04;83.91;203.2;"Orthodox";"1995-07-04";2.88;53.0;3.08;54.0;1.49;40.0;50.0;0.8;-14.6667
"Joseph Morales";"";9;2;0;167.64;56.7;175.26;"Switch";"1994-08-22";1.58;37.0;1.72;60.0;0.53;50.0;23.0;2.6;-2.63636
"Josh Barnett";"The Warmaster";35;8;0;190.5;113.4;198.12;"Orthodox";"1977-11-10";3.2;50.0;2.11;57.0;1.26;55.0;55.0;1.4;-11.5116
"Josh Bumgarner";"";6;4;0;185.42;77.11;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-16.4
"Josh Culibao";"Kuya";11;2;1;177.8;65.77;185.42;"Orthodox";"1994-05-24";2.68;42.0;3.29;56.0;0.0;0.0;72.0;0.4;-1.35714
"Josh Emmett";"CC0";18;4;0;167.64;65.77;177.8;"Orthodox";"1985-03-04";4.07;36.0;4.66;61.0;0.92;37.0;46.0;0.1;-5.27273
"Josh Fremd";"";11;5;0;193.04;83.91;193.04;"Orthodox";"1994-01-15";2.93;43.0;2.63;47.0;0.84;25.0;31.0;1.4;-17.4375
"Josh Grispi";"The Fluke";14;5;0;180.34;65.77;187.96;"Orthodox";"1988-10-14";1.44;41.0;3.71;50.0;1.97;36.0;16.0;2.2;-14.6842
"Josh Hendricks";"";19;11;0;187.96;106.59;0.0;"Southpaw";"1976-08-28";0.98;20.0;11.8;29.0;0.0;0.0;0.0;0.0;-42.9667
"Josh Koscheck";"";17;11;0;177.8;77.11;185.42;"Orthodox";"1977-11-30";1.79;36.0;2.27;63.0;2.46;48.0;64.0;0.4;-44.6786
"Josh Neer";"The Dentist";36;16;1;180.34;77.11;182.88;"Orthodox";"1983-03-24";3.29;46.0;3.63;58.0;1.09;34.0;46.0;1.3;-55.5472
"Josh Parisian";"";15;7;0;193.04;120.2;200.66;"Orthodox";"1989-06-28";4.54;48.0;4.81;41.0;0.99;33.0;46.0;0.2;-24.7727
"Josh Rafferty";"";9;8;0;182.88;77.11;0.0;"Orthodox";"1981-01-06";0.6;33.0;3.6;50.0;0.0;0.0;0.0;9.0;-35.2353
"Josh Samman";"Anqa";13;4;0;190.5;83.91;200.66;"Orthodox";"1988-03-14";2.08;52.0;2.47;34.0;1.09;33.0;33.0;0.4;-10.0588
"Josh Sampo";"The Gremlin";11;5;0;162.56;56.7;162.56;"Orthodox";"1984-07-24";1.99;36.0;2.96;55.0;1.06;33.0;40.0;2.1;-17.4375
"Josh Shockley";"";11;4;0;185.42;70.31;0.0;"Orthodox";"1989-11-15";1.4;33.0;1.75;60.0;0.0;0.0;61.0;0.8;-11.9333
"Josh Smith";"";9;8;0;182.88;70.31;0.0;"Orthodox";"1982-07-02";0.73;28.0;1.4;54.0;0.0;0.0;57.0;2.0;-35.2353
"Josh Stansbury";"The Sandman";4;8;0;187.96;92.99;187.96;"Orthodox";"1984-11-19";3.22;54.0;3.54;54.0;0.0;0.0;87.0;1.0;-38.6667
"Josh Thomson";"The Punk";22;9;0;177.8;70.31;180.34;"Orthodox";"1978-09-21";2.59;47.0;2.12;64.0;1.92;39.0;54.0;1.3;-29.3871
"Josh Thornburg";"";8;8;0;182.88;77.11;0.0;"";"";1.2;50.0;3.13;38.0;2.0;66.0;42.0;2.0;-36.0
"Joshua Burkman";"The People's Warrior";28;16;0;177.8;77.11;182.88;"Orthodox";"1980-04-10";2.69;43.0;3.13;51.0;2.53;36.0;72.0;0.3;-62.1818
"Journey Newson";"";10;5;0;165.1;61.23;170.18;"Orthodox";"1989-03-07";2.64;32.0;2.57;64.0;0.56;16.0;43.0;0.3;-18.3333
"JP Buys";"Young Savage";9;6;0;165.1;61.23;170.18;"Orthodox";"1996-04-30";1.88;39.0;3.02;40.0;1.55;25.0;25.0;2.3;-24.6
"Juan Andres Luna";"";12;1;0;170.18;56.7;182.88;"Orthodox";"1995-08-20";3.27;31.0;3.0;65.0;0.0;0.0;0.0;0.0;6.07692
"Juan Espino";"El Guapo";11;2;0;190.5;115.67;203.2;"Orthodox";"1980-10-09";2.38;70.0;1.95;40.0;8.93;78.0;50.0;2.4;-0.692308
"Juan Mott";"";3;4;0;182.88;86.18;0.0;"Switch";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-18.7143
"Julia Avila";"Raging Panda";9;3;0;170.18;61.23;172.72;"Orthodox";"1988-05-11";2.59;43.0;2.86;50.0;0.54;33.0;50.0;0.3;-8.25
"Julia Polastri";"The Dragon";12;3;0;157.48;52.16;160.02;"Orthodox";"1998-03-05";6.19;52.0;5.11;62.0;0.62;100.0;42.0;0.6;-5.4
"Julian Erosa";"Juicy J";28;12;0;185.42;65.77;187.96;"Southpaw";"1989-07-31";6.22;48.0;6.35;47.0;1.66;46.0;61.0;0.6;-40.4
"Julian Marquez";"The Cuban Missile Crisis";9;4;0;187.96;83.91;182.88;"Orthodox";"1990-05-08";4.86;44.0;4.99;51.0;0.0;0.0;53.0;2.6;-13.7692
"Julian Sanchez";"";0;1;0;190.5;136.08;0.0;"Orthodox";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.0
"Juliana Miller";"Killer";4;3;0;170.18;56.7;167.64;"Orthodox";"1996-05-07";3.31;45.0;4.75;32.0;1.84;44.0;0.0;1.8;-12.7143
"Julianna Pena";"The Venezuelan Vixen";12;5;0;167.64;61.23;175.26;"Orthodox";"1989-08-19";3.16;47.0;2.3;50.0;1.94;55.0;23.0;0.8;-16.5294
"Julija Stoliarenko";"";11;8;2;170.18;56.7;167.64;"Orthodox";"1993-04-08";2.81;40.0;4.56;44.0;0.91;30.0;62.0;1.4;-34.2381
"Julio Arce";"";18;6;0;170.18;61.23;177.8;"Southpaw";"1989-10-27";4.38;36.0;3.1;68.0;0.49;30.0;95.0;0.4;-16.5
"Julio Paulino";"The Dominican Demon";23;5;0;182.88;77.11;0.0;"Orthodox";"1975-12-04";0.97;27.0;1.87;48.0;0.0;0.0;37.0;0.5;-6.10714
"Julius Anglickas";"";5;1;0;190.5;92.99;0.0;"Orthodox";"1991-07-23";4.62;78.0;1.86;50.0;4.47;50.0;60.0;1.1;-0.833333
"Jumabieke Tuerxun";"The Wild Wolf";19;4;1;170.18;61.23;0.0;"Orthodox";"1986-04-17";1.6;28.0;3.08;59.0;0.47;11.0;66.0;0.9;-4.95833
"Junie Browning";"";5;6;0;175.26;70.31;0.0;"Orthodox";"1984-05-12";3.76;48.0;1.76;66.0;3.53;66.0;0.0;3.5;-27.7273
"Junior Assuncao";"";16;6;0;175.26;65.77;182.88;"Orthodox";"1981-06-24";3.31;62.0;2.06;44.0;2.43;24.0;66.0;0.7;-18.3636
"Junior Dos Santos";"Cigano";21;9;0;193.04;107.95;195.58;"Orthodox";"1984-01-30";4.49;47.0;3.33;56.0;0.3;50.0;81.0;0.1;-30.3
"JunYong Park";"The Iron Turtle";17;5;0;177.8;83.91;185.42;"Orthodox";"1991-02-27";4.94;51.0;3.66;53.0;2.1;50.0;69.0;1.2;-11.8636
"Jussier Formiga";"";23;8;0;165.1;56.7;170.18;"Orthodox";"1985-04-14";1.42;39.0;2.34;64.0;1.82;35.0;87.0;0.6;-22.9355
"Justin Buchholz";"";15;10;0;182.88;70.31;185.42;"Orthodox";"1983-08-22";2.35;26.0;4.14;51.0;0.0;0.0;33.0;0.8;-41.0
"Justin Burlinson";"";6;1;0;185.42;77.11;187.96;"Switch";"1997-05-19";1.24;40.0;3.09;61.0;0.0;0.0;100.0;9.3;0.142857
"Justin Edwards";"Fast Eddy";9;5;0;177.8;70.31;177.8;"Orthodox";"1983-01-26";2.68;42.0;3.32;51.0;2.14;26.0;27.0;1.0;-19.2143
"Justin Guthrie";"";18;9;0;185.42;77.11;0.0;"";"";0.16;33.0;3.74;14.0;2.44;25.0;0.0;4.9;-33.0
"Justin Haskins";"";7;6;0;177.8;77.11;0.0;"Orthodox";"1979-08-30";1.51;33.0;2.65;54.0;1.62;40.0;52.0;0.8;-26.2308
"Justin James";"";13;7;0;177.8;70.31;0.0;"Orthodox";"1976-11-08";1.34;36.0;2.68;50.0;0.0;0.0;50.0;1.6;-26.55
"Justin Jaynes";"The Guitar Hero";16;8;0;170.18;65.77;172.72;"Orthodox";"1989-08-10";3.34;44.0;5.33;62.0;0.75;40.0;20.0;1.1;-29.3333
"Justin Jones";"Black Dynamite";9;2;0;180.34;83.91;0.0;"Orthodox";"1987-09-06";1.7;36.0;3.17;45.0;1.0;15.0;46.0;0.5;-2.63636
"Justin Ledet";"El Blanco";9;4;0;193.04;92.99;203.2;"Orthodox";"1988-09-28";3.35;39.0;4.82;49.0;0.23;50.0;42.0;0.2;-13.7692
"Justin Levens";"The Executioner";10;7;0;180.34;83.91;0.0;"Orthodox";"1980-04-18";1.24;47.0;3.15;37.0;1.69;50.0;33.0;5.1;-29.1176
"Justin Patterson";"The Tactician";9;3;0;177.8;77.11;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-8.25
"Justin Scoggins";"";11;5;0;170.18;56.7;167.64;"Southpaw";"1992-05-02";3.56;51.0;2.16;55.0;3.42;63.0;82.0;0.5;-17.4375
"Justin Smitley";"";10;7;1;0.0;65.77;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-29.4444
"Justine Kish";"";7;4;0;165.1;56.7;162.56;"Orthodox";"1988-04-13";4.51;48.0;4.59;57.0;0.87;33.0;50.0;0.1;-15.5455
"JW Wright";"";1;0;0;0.0;58.97;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
"Kai Kamaka";"The Fighting Hawaiian";8;4;1;170.18;65.77;175.26;"Orthodox";"1995-01-05";4.96;57.0;5.29;55.0;1.93;58.0;52.0;0.3;-15.0769
"Kaik Brito";"";16;5;0;180.34;77.11;182.88;"Orthodox";"1997-03-26";2.8;38.0;3.87;55.0;0.0;0.0;55.0;2.0;-12.8095
"Kailin Curran";"";4;5;0;162.56;52.16;165.1;"Orthodox";"1991-04-11";3.89;43.0;4.75;53.0;2.0;57.0;61.0;0.6;-23.2222
"Kain Royer";"";2;2;0;0.0;83.91;0.0;"";"";0.0;0.0;1.63;14.0;0.0;0.0;0.0;4.1;-9.0
"Kajan Johnson";"Ragin'";23;13;1;180.34;70.31;190.5;"Orthodox";"1984-04-21";2.47;42.0;1.59;64.0;1.54;37.0;62.0;0.2;-50.7027
"Kaleio Romero";"KO";6;2;0;177.8;65.77;175.26;"Switch";"1996-04-19";2.6;48.0;3.27;50.0;1.0;8.0;0.0;1.0;-5.5
"Kalib Starnes";"";17;11;1;190.5;83.91;187.96;"Orthodox";"1975-01-06";2.71;48.0;4.43;53.0;1.46;33.0;25.0;0.6;-45.0345
"Kalindra Faria";"";18;8;1;170.18;56.7;0.0;"Switch";"1986-07-23";2.23;56.0;1.44;45.0;1.31;66.0;20.0;0.7;-28.0
"Kaline Medeiros";"The Dark Angel";8;5;0;160.02;52.16;0.0;"";"";2.06;70.0;0.29;83.0;4.41;100.0;0.0;4.4;-20.0769
"Kamaru Usman";"The Nigerian Nightmare";20;4;0;182.88;77.11;193.04;"Switch";"1987-05-11";4.36;52.0;2.74;54.0;2.82;45.0;89.0;0.1;-3.33333
"Kamuela Kirk";"The Jawaiian";12;6;0;177.8;70.31;190.5;"Switch";"1994-04-13";3.22;50.0;5.87;40.0;1.5;26.0;47.0;1.2;-22.0
"Kanako Murata";"";12;3;0;154.94;52.16;157.48;"Orthodox";"1993-08-10";2.15;56.0;2.4;53.0;3.38;56.0;100.0;0.8;-5.4
"Karine Silva";"Killer";17;4;0;165.1;56.7;170.18;"Orthodox";"1993-12-02";3.37;35.0;3.37;50.0;2.45;60.0;0.0;4.1;-6.2381
"Karl Amoussou";"The Psycho";27;7;2;180.34;83.91;0.0;"Orthodox";"1985-11-21";1.47;34.0;2.67;54.0;0.0;0.0;25.0;1.0;-14.75
"Karl Roberson";"Baby K";9;6;0;185.42;92.99;187.96;"Southpaw";"1990-10-04";2.57;51.0;2.42;57.0;0.72;40.0;42.0;0.5;-24.6
"Karlos Vemola";"";17;5;0;182.88;83.91;190.5;"Orthodox";"1985-07-03";1.67;44.0;2.13;37.0;1.93;25.0;31.0;1.7;-11.8636
"Karo Parisyan";"The Heat";24;11;0;177.8;77.11;182.88;"Orthodox";"1982-08-28";2.49;41.0;2.19;58.0;5.27;59.0;59.0;1.0;-38.5429
"Karolina Kowalkiewicz";"";16;7;0;160.02;52.16;162.56;"Orthodox";"1985-10-15";5.92;43.0;5.55;59.0;0.36;26.0;74.0;0.2;-23.8696
"Karolina Wojcik";"Polish Assassin";9;2;0;157.48;52.16;0.0;"Orthodox";"1994-12-09";2.67;65.0;0.87;62.0;2.0;66.0;100.0;1.0;-2.63636
"Katlyn Chookagian";"Blonde Fighter";18;5;0;175.26;56.7;172.72;"Orthodox";"1988-12-28";4.59;34.0;4.41;63.0;0.27;15.0;54.0;0.3;-10.913
"Katsuaki Furuki";"";1;1;0;182.88;76.2;0.0;"";"";0.27;10.0;2.67;39.0;0.0;0.0;0.0;3.0;-4.5
"Katsuhisa Fujii";"Shamoji";9;18;1;182.88;92.99;0.0;"Orthodox";"1972-08-15";4.0;50.0;4.43;64.0;2.14;25.0;50.0;2.1;-87.1071
"Katsunori Kikuno";"";24;8;2;172.72;65.77;167.64;"Orthodox";"1981-10-31";2.64;40.0;2.47;61.0;1.88;75.0;76.0;0.8;-23.0588
"Katsuyori Shibata";"";4;11;1;182.88;76.2;0.0;"Orthodox";"1979-11-17";2.06;35.0;2.4;53.0;0.49;50.0;53.0;0.7;-54.0
"Kaue Fernandes";"";8;2;0;175.26;70.31;185.42;"Orthodox";"1995-03-17";1.53;54.0;0.87;59.0;1.0;100.0;62.0;0.0;-3.6
"Kay Hansen";"";7;6;0;157.48;52.16;160.02;"Orthodox";"1999-08-14";3.01;50.0;3.19;51.0;1.83;22.0;37.0;0.8;-26.2308
"Kaynan Kruschewsky";"Bahia";15;2;0;182.88;70.31;185.42;"Orthodox";"1991-04-04";5.08;39.0;4.79;47.0;2.18;100.0;0.0;2.2;3.23529
"Kazuhiro Nakamura";"Kaz";21;13;0;180.34;92.99;177.8;"Orthodox";"1979-07-16";1.56;37.0;1.83;59.0;1.73;36.0;42.0;0.6;-52.0294
"Kazuki Okubo";"";7;9;0;180.34;79.38;0.0;"Orthodox";"";1.53;38.0;1.97;46.0;0.51;25.0;36.0;2.0;-41.9375
"Kazula Vargas";"";12;5;0;172.72;70.31;180.34;"Southpaw";"1985-08-15";3.65;53.0;1.77;57.0;0.4;25.0;30.0;0.4;-16.5294
"Kazuo Misaki";"Hitman";25;11;2;172.72;83.01;0.0;"Orthodox";"1976-04-25";2.85;40.0;2.74;63.0;0.72;38.0;51.0;0.6;-38.5526
"Kazushi Sakuraba";"The Gracie Hunter";26;17;1;182.88;83.91;0.0;"Southpaw";"1969-07-14";1.26;41.0;2.03;51.0;1.26;31.0;48.0;1.7;-69.6364
"Kazuyuki Fujita";"Ironhead";15;12;0;182.88;106.59;0.0;"Orthodox";"1970-10-16";1.05;49.0;1.99;52.0;2.78;36.0;85.0;0.6;-51.6667
"Keigo Kunihara";"";3;2;0;182.88;106.59;0.0;"Orthodox";"";0.17;10.0;1.99;57.0;4.97;40.0;100.0;2.5;-8.2
"Keisuke Fujiwara";"";17;12;5;167.64;63.05;0.0;"Switch";"";0.73;44.0;1.2;47.0;0.0;0.0;23.0;2.5;-51.5
"Keisuke Sasu";"Sasuke";11;3;1;165.1;65.77;175.26;"Switch";"1994-09-30";2.76;49.0;2.42;48.0;3.76;40.0;61.0;1.9;-6.93333
"Keita Nakamura";"K-Taro";34;10;2;180.34;77.11;185.42;"Southpaw";"1984-05-22";2.23;36.0;3.2;58.0;1.65;48.0;63.0;0.3;-24.8696
"Keith Berry";"";15;14;1;185.42;83.91;0.0;"";"";0.27;12.0;6.27;28.0;0.0;0.0;0.0;0.0;-62.5
"Keith Jardine";"The Dean of Mean";17;11;2;187.96;83.91;193.04;"Orthodox";"1975-10-31";3.25;36.0;2.98;59.0;1.18;45.0;62.0;0.7;-45.3667
"Keith Rockel";"Rock";12;4;1;182.88;83.91;0.0;"Orthodox";"";1.13;73.0;0.21;66.0;4.63;75.0;100.0;4.6;-11.5294
"Keith Wisniewski";"The Polish Connection";28;15;1;182.88;77.11;0.0;"Orthodox";"1981-10-25";2.32;52.0;4.86;42.0;1.57;40.0;78.0;0.3;-57.1818
"Kelly Velasco";"Killer";2;1;0;175.26;61.23;0.0;"Orthodox";"1995-05-21";2.27;35.0;5.67;47.0;0.0;0.0;100.0;0.0;-3.66667
"Kelvin Gastelum";"";18;9;0;175.26;77.11;180.34;"Southpaw";"1991-10-24";3.55;41.0;3.23;58.0;0.96;30.0;59.0;0.1;-33.0
"Ken Kaneko";"";0;3;0;182.88;73.03;0.0;"Orthodox";"";0.0;0.0;0.94;42.0;0.0;0.0;0.0;3.5;-15.0
"Ken Shamrock";"The World's Most Dangerous Man";28;17;2;185.42;92.99;182.88;"Orthodox";"1964-02-11";1.47;46.0;4.3;39.0;0.94;60.0;44.0;2.5;-68.3191
"Ken Stone";"";11;4;0;172.72;61.23;180.34;"Southpaw";"1982-10-08";3.85;49.0;2.9;48.0;1.24;33.0;60.0;0.6;-11.9333
"Kendall Grove";"Da Spyder";23;17;0;198.12;83.91;200.66;"Orthodox";"1982-11-12";2.31;41.0;2.4;54.0;0.49;45.0;56.0;1.7;-71.775
"Kengo Ura";"Uraken";14;12;2;175.26;74.84;0.0;"";"";1.05;37.0;2.38;48.0;2.85;28.0;50.0;1.4;-53.0
"Kenichi Yamamoto";"";5;12;2;182.88;77.11;0.0;"Orthodox";"1976-07-11";0.3;46.0;1.93;38.0;0.0;0.0;10.0;0.3;-58.6842
"Kenji Osawa";"";20;11;2;170.18;61.23;167.64;"Orthodox";"1976-11-04";2.34;35.0;2.14;63.0;0.91;58.0;68.0;0.7;-42.8788
"Kennedy Nzechukwu";"African Savage";12;4;0;195.58;92.99;210.82;"Southpaw";"1992-06-13";4.86;46.0;4.27;51.0;0.68;50.0;80.0;0.3;-11.0
"Kenneth Seegrist";"";4;7;0;182.88;83.91;0.0;"Orthodox";"";3.21;66.0;1.28;0.0;0.0;0.0;40.0;14.4;-33.5455
"Kenny Ento";"Tha' Dragon";14;15;0;187.96;87.09;0.0;"";"";8.41;79.0;0.0;100.0;5.49;100.0;0.0;11.0;-68.2414
"Kenny Florian";"KenFlo";14;6;0;177.8;65.77;187.96;"Southpaw";"1976-05-26";2.41;40.0;1.85;63.0;2.22;33.0;60.0;1.3;-20.2
"Kenny Robertson";"";15;5;0;177.8;77.11;187.96;"Orthodox";"1984-02-14";3.72;47.0;3.02;52.0;1.37;26.0;57.0;0.8;-13.75
"Kestutis Smirnovas";"";24;8;2;177.8;90.72;0.0;"Orthodox";"";4.95;52.0;5.05;54.0;1.55;50.0;100.0;1.6;-23.0588
"Ketlen Vieira";"Fenomeno";14;3;0;172.72;61.23;172.72;"Orthodox";"1991-08-26";3.04;41.0;3.92;51.0;1.51;44.0;92.0;0.6;-3.47059
"Kevin Aguilar";"Angel of Death";17;5;0;170.18;70.31;185.42;"Orthodox";"1988-09-07";3.96;40.0;4.81;52.0;0.16;16.0;78.0;0.0;-11.8636
"Kevin Burns";"The Fire";12;7;0;177.8;77.11;187.96;"Orthodox";"1980-03-03";2.74;38.0;4.3;52.0;0.28;50.0;47.0;0.8;-27.4211
"Kevin Casey";"King";9;5;2;180.34;83.91;195.58;"Southpaw";"1981-06-15";2.27;53.0;3.76;46.0;0.79;22.0;27.0;0.4;-19.9375
"Kevin Croom";"Crash";21;15;0;180.34;61.23;185.42;"Orthodox";"1987-07-15";2.65;34.0;3.1;41.0;0.48;5.0;30.0;0.5;-62.75
"Kevin Ferguson";"Kimbo Slice";5;2;0;187.96;106.59;195.58;"Orthodox";"1974-02-08";2.3;50.0;3.41;38.0;3.1;72.0;36.0;1.2;-6.42857
"Kevin Haley";"The North Woods Nightmare";6;4;0;187.96;92.99;0.0;"";"";0.87;59.0;0.87;64.0;3.0;100.0;0.0;2.0;-16.4
"Kevin Holland";"Trailblazer";25;10;0;190.5;77.11;205.74;"Orthodox";"1992-11-05";4.39;49.0;3.22;51.0;0.78;38.0;53.0;0.5;-32.1429
"Kevin Jordan";"The Shaman";11;9;0;190.5;111.13;0.0;"Orthodox";"1970-12-31";2.0;40.0;1.91;55.0;0.0;0.0;77.0;0.6;-38.95
"Kevin Jousset";"Air";9;2;0;187.96;77.11;190.5;"Orthodox";"1993-05-02";6.02;50.0;8.1;33.0;3.11;100.0;0.0;3.1;-2.63636
"Kevin Lee";"The Motown Phenom";18;8;0;175.26;77.11;195.58;"Orthodox";"1992-09-04";3.88;42.0;3.6;50.0;3.18;43.0;75.0;0.8;-27.5385
"Kevin Randleman";"The Monster";17;16;0;177.8;92.99;0.0;"Orthodox";"1971-08-10";1.26;54.0;1.12;57.0;2.0;56.0;30.0;0.8;-71.2424
"Kevin Syler";"El Nino Bala";10;1;0;175.26;70.31;180.34;"Switch";"1993-07-29";5.6;69.0;4.03;48.0;1.0;40.0;77.0;2.0;4.09091
"Khabib Nurmagomedov";"The Eagle";29;0;0;177.8;70.31;177.8;"Orthodox";"1988-09-20";4.1;48.0;1.75;65.0;5.32;48.0;84.0;0.8;29.0
"Khadis Ibragimov";"";8;4;0;190.5;92.99;198.12;"Orthodox";"1995-05-21";3.55;49.0;4.26;47.0;0.97;30.0;80.0;0.3;-14.6667
"Khalid Taha";"The Warrior";13;5;0;165.1;61.23;175.26;"Orthodox";"1992-02-15";2.64;32.0;4.12;46.0;0.0;0.0;61.0;0.2;-15.6111
"Khalil Rountree Jr.";"";13;5;0;185.42;92.99;193.04;"Southpaw";"1990-02-26";3.73;38.0;4.16;50.0;0.0;0.0;56.0;0.1;-15.6111
