"name";"nickname";"wins";"losses";"draws";"height_cm";"weight_in_kg";"reach_in_cm";"stance";"date_of_birth";"significant_strikes_landed_per_minute";"significant_striking_accuracy";"significant_strikes_absorbed_per_minute";"significant_strike_defence";"average_takedowns_landed_per_15_minutes";"takedown_accuracy";"takedown_defense";"average_submissions_attempted_per_15_minutes";"performance_metric"
"Farid Basharat";"Ferocious";11;0;0;172.72;61.23;180.34;"Orthodox";"1997-08-02";5.2;63.0;2.34;58.0;3.5;53.0;83.0;0.4;11.0
"Fazlo Mulabitinovic";"";4;2;0;0.0;61.23;0.0;"";"";0.54;16.0;0.0;100.0;0.0;0.0;0.0;8.0;-7.33333
"Federico Lopez";"Kiko";10;6;0;162.56;63.05;0.0;"Orthodox";"";1.78;23.0;5.35;30.0;0.0;0.0;0.0;0.0;-23.75
"Fedor Emelianenko";"The Last Emperor";36;5;0;182.88;104.33;187.96;"Orthodox";"1976-09-28";3.18;51.0;1.0;63.0;2.0;63.0;82.0;1.9;6.60976
"Felice Herrig";"Lil Bulldog";14;10;0;162.56;52.16;165.1;"Orthodox";"1984-09-18";3.84;37.0;5.19;48.0;1.08;28.0;75.0;0.8;-41.8333
"Felicia Spencer";"FeeNom";9;3;0;167.64;65.77;172.72;"Orthodox";"1990-11-29";3.21;48.0;4.54;45.0;1.18;18.0;27.0;0.2;-8.25
"Felipe Arantes";"Sertanejo";18;10;1;172.72;61.23;185.42;"Orthodox";"1988-02-09";2.37;45.0;2.66;64.0;0.93;47.0;41.0;0.7;-38.8276
"Felipe Colares";"Cabocao";10;4;0;172.72;65.77;175.26;"Orthodox";"1994-03-31";2.17;45.0;4.65;36.0;1.88;24.0;43.0;0.5;-12.8571
"Felipe dos Santos";"Lipe Detona";7;1;0;170.18;56.7;177.8;"Orthodox";"2000-09-11";6.6;32.0;7.47;38.0;0.0;0.0;0.0;0.0;1.125
"Fernando Bruno";"Acougueiro";15;4;0;167.64;65.77;0.0;"";"";1.75;39.0;1.78;48.0;2.02;22.0;56.0;0.5;-8.1579
"Fernando Gonzalez";"The Menifee Maniac";26;14;0;175.26;77.11;172.72;"Southpaw";"1983-09-15";4.47;47.0;4.03;65.0;0.86;33.0;43.0;1.4;-53.1
"Fernando Padilla";"El Valiente";15;5;0;185.42;65.77;193.04;"Orthodox";"1996-12-15";5.51;38.0;5.81;53.0;0.0;0.0;100.0;0.0;-13.75
"Fernie Garcia";"";10;4;0;170.18;61.23;170.18;"Orthodox";"1992-04-12";1.8;34.0;2.69;50.0;0.32;50.0;47.0;0.6;-12.8571
"Forrest Griffin";"";19;7;0;190.5;92.99;195.58;"Orthodox";"1979-03-16";4.38;36.0;2.81;61.0;1.05;48.0;57.0;0.7;-21.1154
"Francis Carmont";"Limitless";25;12;0;190.5;92.99;198.12;"Orthodox";"1981-10-11";2.22;42.0;1.64;59.0;1.79;36.0;73.0;0.6;-43.1081
"Francis Marshall";"Fire";7;2;0;175.26;65.77;182.88;"Orthodox";"1999-03-03";3.66;33.0;4.07;53.0;3.29;50.0;0.0;0.7;-4.55556
"Francis Ngannou";"The Predator";17;3;0;193.04;113.4;210.82;"Orthodox";"1986-09-05";2.33;41.0;2.16;41.0;0.76;62.0;71.0;0.3;-0.55
"Francisco Figueiredo";"Sniper";13;5;1;167.64;56.7;172.72;"Southpaw";"1989-10-23";2.04;61.0;2.59;61.0;2.51;75.0;76.0;0.4;-16.1053
"Francisco France";"Kiko";13;5;1;182.88;92.99;0.0;"";"";0.54;33.0;3.51;27.0;0.0;0.0;0.0;6.1;-16.1053
"Francisco Prado";"";12;1;0;177.8;70.31;175.26;"Orthodox";"2002-06-16";3.46;50.0;3.83;46.0;0.0;0.0;25.0;0.8;6.07692
"Francisco Rivera";"Cisco";11;7;0;172.72;61.23;177.8;"Orthodox";"1981-10-08";4.07;41.0;3.16;68.0;1.01;63.0;68.0;0.6;-28.2778
"Francisco Trinaldo";"Massaranduba";28;9;0;175.26;77.11;177.8;"Southpaw";"1978-08-24";3.13;45.0;2.67;60.0;0.98;42.0;60.0;0.5;-23.8108
"Frank Gomez";"";10;6;0;177.8;61.23;170.18;"Orthodox";"1986-03-31";1.52;48.0;0.79;66.0;1.14;60.0;70.0;0.8;-23.75
"Frank Mir";"";18;11;0;190.5;119.75;200.66;"Southpaw";"1979-05-24";2.18;47.0;3.84;38.0;2.02;40.0;54.0;2.0;-43.8276
"Frank Shamrock";"";23;10;2;177.8;83.91;0.0;"Orthodox";"1972-12-08";4.75;53.0;4.66;57.0;0.35;50.0;37.0;1.1;-34.8857
"Frank Trigg";"Twinkle Toes";21;9;0;175.26;77.11;180.34;"Southpaw";"1972-05-07";2.79;46.0;1.9;56.0;2.35;47.0;75.0;0.8;-30.3
"Frankie Edgar";"The Answer";23;11;1;167.64;61.23;172.72;"Orthodox";"1981-10-16";3.77;40.0;2.82;65.0;2.29;31.0;65.0;0.3;-39.8857
"Frankie Perez";"";10;4;0;180.34;70.31;185.42;"Orthodox";"1989-05-11";1.64;41.0;2.17;54.0;1.75;41.0;50.0;0.3;-12.8571
"Frankie Saenz";"";13;7;0;167.64;61.23;167.64;"Orthodox";"1980-08-12";3.94;47.0;3.5;52.0;1.74;31.0;61.0;0.1;-26.55
"Fredson Paixao";"";10;5;0;167.64;65.77;167.64;"Orthodox";"1979-05-13";1.71;54.0;2.31;62.0;0.62;11.0;10.0;2.2;-18.3333
"Gabe Green";"Gifted";11;5;0;177.8;77.11;185.42;"Switch";"1993-05-02";6.28;45.0;6.95;47.0;0.83;50.0;53.0;0.3;-17.4375
"Gabriel Benitez";"Moggly";23;11;0;172.72;70.31;180.34;"Southpaw";"1988-06-15";4.79;41.0;4.05;65.0;0.27;50.0;58.0;1.1;-39.4412
"Gabriel Bonfim";"Marretinha";15;1;0;185.42;77.11;182.88;"Orthodox";"1997-08-20";4.87;40.0;5.25;59.0;4.75;71.0;100.0;3.8;9.0625
"Gabriel Gonzaga";"Napao";17;11;0;187.96;109.77;193.04;"Orthodox";"1979-05-18";2.12;45.0;2.94;57.0;2.8;39.0;66.0;1.1;-44.6786
